,Plant,source,target,weight
0,Arkansas,operator_unspec,operator_unspec,1
1,Arkansas,control_room_sup,operators_unspec,2
2,Arkansas,resident_inspector,operators_unspec,1
3,Arkansas,CR_supervisor,licensed_OP,1
4,Arkansas,CR_supervisor,operator_unspec,3
5,Arkansas,CR_supervisor,s_reactor_operator,1
6,Arkansas,licensed_OP,operator_unspec,1
7,Arkansas,operators_unspec,operators_unspec,2
0,Callaway,technician_unspec,operator_unspec,2
1,Callaway,assistant_shift_sup,operator_unspec,2
2,Callaway,CR_shift_supervisor,fire_watch_staff,1
3,Callaway,CR_supervisor,operator_unspec,1
4,Callaway,supervisor_unspec,shift_supervisor,2
5,Callaway,operators_unspec,operator_unspec,1
6,Callaway,shift_supervisor,s_reactor_operator,2
7,Callaway,shift_supervisor,CR_supervisor,1
8,Callaway,engineers_unspec,operators_unspec,1
9,Callaway,engineer_unspec,engineer_unspec,1
0,Columbia Generating Station,supervisor_unspec,tech_unspec,3
1,Columbia Generating Station,tech_unspec,control_room_OP,3
2,Columbia Generating Station,shift_manager,operator_unspec,1
3,Columbia Generating Station,control_room_OP,tech_unspec,4
4,Columbia Generating Station,engineer_unspec,supervisor_unspec,1
5,Columbia Generating Station,control_room_OP,operator_unspec,1
6,Columbia Generating Station,technician_unspec,operators_unspec,1
7,Columbia Generating Station,operators_unspec,supervisor_unspec,1
8,Columbia Generating Station,tech_unspec,supervisor_unspec,3
9,Columbia Generating Station,operations_manager,operators_unspec,2
10,Columbia Generating Station,tech_unspec,operators_unspec,3
11,Columbia Generating Station,supervisor_unspec,control_room_OP,3
12,Columbia Generating Station,tech_unspec,tech_unspec,3
0,Comanche Peak,operators_unspec,operators_unspec,2
1,Comanche Peak,operators_unspec,operator_unspec,1
2,Comanche Peak,operators_unspec,maintenance_WKR,1
3,Comanche Peak,supervisor_unspec,supervisor_unspec,1
0,Cooper,plant_manager,operations_manager,3
1,Cooper,shift_supervisor,CR_supervisor,3
2,Cooper,maintenance_WKR,contractor_nonlicensed,2
3,Cooper,operators_unspec,operations_sup,1
4,Cooper,operations_manager,operations_sup,1
5,Cooper,operator_unspec,supervisor_unspec,1
6,Cooper,operator_unspec,s_reactor_operator,2
7,Cooper,engineer_unspec,s_reactor_operator,1
8,Cooper,plant_manager,supervisor,2
9,Cooper,operations_sup,CR_supervisor,1
10,Cooper,control_room_sup,operator_unspec,1
11,Cooper,operations_manager,shift_supervisor,1
12,Cooper,plant_manager,shift_supervisor,1
13,Cooper,supervisor_unspec,engineer_unspec,1
14,Cooper,shift_supervisor,engineer_unspec,1
15,Cooper,engineers_unspec,engineer_unspec,1
16,Cooper,operations_manager,CR_supervisor,1
17,Cooper,operations_manager,operators_unspec,1
18,Cooper,engineers_unspec,tech_unspec,1
19,Cooper,operations_manager,supervisor,2
20,Cooper,tech_unspec,engineer_unspec,1
21,Cooper,operator_unspec,operator_unspec,1
0,Diablo Canyon,engineer_unspec,operator_unspec,1
1,Diablo Canyon,operator_unspec,operator_unspec,1
2,Diablo Canyon,operators_unspec,operator_unspec,1
3,Diablo Canyon,operators_unspec,maintenance_WKR,1
4,Diablo Canyon,tech_unspec,operators_unspec,1
5,Diablo Canyon,licensed_OP,operator_trainee_unspec,1
6,Diablo Canyon,maintenance_WKR,operators_unspec,3
7,Diablo Canyon,procedure_writer,engineer_unspec,1
8,Diablo Canyon,shift_supervisor,operator_unspec,1
9,Diablo Canyon,operator_unspec,control_room_OP,2
10,Diablo Canyon,fire_shift_CPT,supervisor_unspec,1
11,Diablo Canyon,operators_unspec,tech_unspec,2
12,Diablo Canyon,worker_unspec,supervisor_unspec,2
13,Diablo Canyon,operator_unspec,operators_unspec,26
14,Diablo Canyon,supervisor_unspec,technician_unspec,1
15,Diablo Canyon,operators_unspec,operators_unspec,2
0,Fort Calhoun,engineer_unspec,shift_supervisor,1
1,Fort Calhoun,operator_unspec,operator_unspec,1
2,Fort Calhoun,assistant_shift_sup,plant_manager,1
3,Fort Calhoun,shift_supervisor,operator_unspec,1
4,Fort Calhoun,shift_supervisor,engineer_unspec,2
5,Fort Calhoun,engineer_unspec,shift_manager,1
6,Fort Calhoun,operators_unspec,reactor_ENG,1
7,Fort Calhoun,reactor_ENG,operators_unspec,1
8,Fort Calhoun,engineer_unspec,engineer_unspec,1
0,Grand Gulf,control_room_OP,shift_supervisor,2
1,Grand Gulf,supervisor_unspec,shift_supervisor,2
2,Grand Gulf,operator_unspec,operators_unspec,1
3,Grand Gulf,supervisor_unspec,control_room_OP,1
0,Kewaunee,shift_supervisor,shift_supervisor,1
1,Kewaunee,control_room_OP,control_room_OP,1
2,Kewaunee,CR_supervisor,shift_supervisor,1
3,Kewaunee,engineer_unspec,engineer_unspec,2
4,Kewaunee,operator_trainee_unspec,control_room_OP,1
5,Kewaunee,technician_unspec,engineers_unspec,1
6,Kewaunee,shift_supervisor,CR_supervisor,2
7,Kewaunee,control_room_sup,reactor_OP,1
8,Kewaunee,CR_supervisor,reactor_OP,1
9,Kewaunee,control_room_sup,shift_supervisor,2
10,Kewaunee,CR_supervisor,operators_unspec,1
11,Kewaunee,technician_unspec,engineer_unspec,2
12,Kewaunee,assistant_shift_sup,operations_manager,1
13,Kewaunee,tech_unspec,operators_unspec,1
14,Kewaunee,licensed_OP,control_room_OP,1
15,Kewaunee,operators_unspec,shift_supervisor,1
16,Kewaunee,licensed_OP,operator_trainee_unspec,1
17,Kewaunee,assistant_shift_sup,plant_manager,1
18,Kewaunee,operators_unspec,shift_technical_advisor,1
19,Kewaunee,control_room_OP,operator_trainee_unspec,5
20,Kewaunee,control_room_OP,operators_unspec,1
21,Kewaunee,shift_supervisor,shift_technical_advisor,2
22,Kewaunee,operator_unspec,operators_unspec,1
23,Kewaunee,supervisor_unspec,engineers_unspec,1
24,Kewaunee,shift_supervisor,reactor_OP,1
25,Kewaunee,supervisor_unspec,technician_unspec,1
26,Kewaunee,operator_unspec,operator_unspec,3
0,Oyster Creek,control_room_OP,operators_unspec,1
1,Oyster Creek,tech_unspec,technician_unspec,2
2,Oyster Creek,tech_unspec,supervisor_unspec,3
3,Oyster Creek,supervisor_unspec,technician_unspec,1
4,Oyster Creek,operators_unspec,tech_unspec,1
0,Palo Verde,operator_unspec,operator_unspec,1
1,Palo Verde,engineer_unspec,engineer_unspec,1
2,Palo Verde,reactor_OP,CR_supervisor,1
3,Palo Verde,CR_supervisor,operator_unspec,2
4,Palo Verde,control_room_OP,licensed_OP,1
5,Palo Verde,engineers_unspec,operators_unspec,3
6,Palo Verde,operator_unspec,control_room_OP,1
7,Palo Verde,control_room_OP,CR_supervisor,1
8,Palo Verde,engineers_unspec,control_room_OP,2
9,Palo Verde,shift_manager,s_reactor_operator,1
10,Palo Verde,control_room_sup,shift_technical_advisor,1
11,Palo Verde,technician_unspec,control_room_OP,1
12,Palo Verde,operators_unspec,operators_unspec,1
0,River Bend,control_room_sup,operator_unspec,1
1,River Bend,control_room_OP,operators_unspec,1
