,Plant,source,target,weight
0,Browns Ferry,operators_unspec,operators_unspec,1
1,Browns Ferry,operator_unspec,operator_unspec,13
2,Browns Ferry,operator_unspec,operators_unspec,13
3,Browns Ferry,assistant_shift_sup,operators_unspec,1
4,Browns Ferry,maintenance_WKR,operators_unspec,1
5,Browns Ferry,supervisor_unspec,operator_unspec,1
6,Browns Ferry,engineers_unspec,operators_unspec,1
7,Browns Ferry,control_room_OP,operator_unspec,10
8,Browns Ferry,reactor_OP,operator_unspec,1
9,Browns Ferry,quality_control,operators_unspec,1
10,Browns Ferry,assistant_shift_sup,operator_unspec,1
11,Browns Ferry,engineers_unspec,contractor_nonlicensed,2
12,Browns Ferry,operators_unspec,operator_unspec,2
13,Browns Ferry,contractor_nonlicensed,contractor_nonlicensed,1
0,Brunswick,operators_unspec,engineers_unspec,1
1,Brunswick,operators_unspec,tech_unspec,1
2,Brunswick,engineer_unspec,supervisor_unspec,1
3,Brunswick,operators_unspec,operators_unspec,1
0,Catawba,supervisor_unspec,shift_manager,1
0,Crystal River,reactor_OP,operator_unspec,1
1,Crystal River,worker_unspec,supervisor_unspec,1
2,Crystal River,supervisor_unspec,electrician,1
3,Crystal River,operator_unspec,operators_unspec,1
4,Crystal River,maintenance_WKR,engineer_unspec,1
0,Farley,supervisor_unspec,operator_unspec,1
0,Hatch,engineers_unspec,tech_unspec,6
0,McGuire,reactor_OP,CR_supervisor,1
1,McGuire,CR_supervisor,operator_unspec,3
2,McGuire,operator_unspec,CR_supervisor,1
3,McGuire,s_reactor_operator,tech_unspec,1
4,McGuire,operator_unspec,operator_unspec,1
0,Robinson,shift_technical_advisor,shift_technical_advisor,2
1,Robinson,CR_shift_supervisor,operator_unspec,1
2,Robinson,operator_unspec,operator_trainee_unspec,3
3,Robinson,operator_unspec,operator_unspec,1
0,Saint Lucie,operators_unspec,engineer_unspec,1
1,Saint Lucie,maintenance_WKR,supervisor_unspec,1
0,Sequoyah,operator_unspec,control_room_OP,3
1,Sequoyah,supervisor_unspec,shift_manager,1
2,Sequoyah,operator_unspec,operators_unspec,5
3,Sequoyah,maintenance_WKR,operators_unspec,1
4,Sequoyah,operator_unspec,operator_unspec,2
0,Summer,operator_unspec,control_room_sup,1
1,Summer,shift_supervisor,operator_unspec,3
2,Summer,control_room_sup,control_room_sup,1
0,Surry,supervisor_unspec,supervisor_unspec,10
1,Surry,plant_manager,plant_manager,1
0,Turkey Point,operators_unspec,control_room_OP,1
1,Turkey Point,operator_unspec,shift_manager,2
2,Turkey Point,operator_unspec,s_reactor_operator,1
3,Turkey Point,shift_manager,resident_inspector,1
4,Turkey Point,supervisor_unspec,shift_manager,3
5,Turkey Point,mechanic_unspec,operator_unspec,1
6,Turkey Point,operators_unspec,operator_unspec,1
7,Turkey Point,operator_unspec,supervisor_unspec,3
0,Vogtle,operator_unspec,tech_unspec,1
1,Vogtle,tech_unspec,operator_unspec,1
2,Vogtle,operator_unspec,operator_unspec,1
0,Watts Bar,assistant_shift_sup,operator_unspec,2
1,Watts Bar,operator_unspec,operators_unspec,3
2,Watts Bar,operator_unspec,operator_unspec,2
